recorded_amine,score_amine,counterfactual_amide,score_amide
O=Cc1cnccc1NC[C@@H]1Cc2ccccc2CN1,5.155963,O=Cc1cnccc1NC(=O)[C@@H]1Cc2ccccc2CN1,5.559415
N#Cc1ccc(N)c(NCc2ccc(-c3nnn(CC4CC4)n3)nc2)c1,6.706028,N#Cc1ccc(N)c(NC(=O)c2ccc(-c3nnn(CC4CC4)n3)nc2)c1,6.545005
O=C(Nc1ccnc2ccccc12)C1CN(Cc2ccc3[nH]c(-c4ccc(CNc5ccnc6ccccc56)cc4)nc3c2)C1,7.217575,O=C(Nc1ccnc2ccccc12)c1ccc(-c2nc3cc(CN4CC(C(=O)Nc5ccnc6ccccc56)C4)ccc3[nH]2)cc1,7.252985
Brc1ccc2oc(-c3ccccc3Cn3nnc(-c4cc(NC[C@@H]5Cc6ccccc6CN5)[nH]n4)n3)nc2c1,7.337173,O=C(Nc1cc(-c2nnn(Cc3ccccc3-c3nc4cc(Br)ccc4o3)n2)n[nH]1)[C@@H]1Cc2ccccc2CN1,7.314669
Nc1ccc(CNc2cc(Br)ccc2N)cc1N,3.426227,Nc1ccc(C(=O)Nc2cc(Br)ccc2N)cc1N,3.687114
O=C(NCc1c[nH]c2ccccc12)c1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)c(NCC2CNC2)c1,7.748633,O=C(NCc1c[nH]c2ccccc12)c1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)c(NC(=O)C2CNC2)c1,7.690444
O=C(Nc1cc(-c2cccc(N(CC3CNC3)C[C@@H]3Cc4ccccc4CN3)c2)n[nH]1)[C@@H]1Cc2ccccc2CN1,7.822179,O=C(Nc1cc(-c2cccc(N(CC3CNC3)C(=O)[C@@H]3Cc4ccccc4CN3)c2)n[nH]1)[C@@H]1Cc2ccccc2CN1,7.672088
c1ccc2c(c1)c(CCNCc1ccc3nc([C@@H]4CCCN4)[nH]c3c1)cn2Cc1ccc(CNC23CC(C2)C3)cc1,7.434525,O=C(NCCc1cn(Cc2ccc(CNC34CC(C3)C4)cc2)c2ccccc12)c1ccc2nc([C@@H]3CCCN3)[nH]c2c1,7.661397
OB(O)c1cccc(NCc2ccc(CNCc3ccccc3)cc2)c1,4.848314,O=C(NCc1ccccc1)c1ccc(CNc2cccc(B(O)O)c2)cc1,4.83291
C[C@@H](NCc1ccc(-c2nc3cc(C(=O)NC4CC4)ccc3o2)cc1)c1ccccc1,7.652709,C[C@@H](NC(=O)c1ccc(-c2nc3cc(C(=O)NC4CC4)ccc3o2)cc1)c1ccccc1,7.44346
Nc1ccc(CNc2ccc(Br)cc2O)cc1N,3.506852,Nc1ccc(C(=O)Nc2ccc(Br)cc2O)cc1N,3.749114
COc1ccccc1CNCc1ccc(O)c(NC[C@@H]2Cc3ccccc3CN2)c1,6.31485,COc1ccccc1CNCc1ccc(O)c(NC(=O)[C@@H]2Cc3ccccc3CN2)c1,6.415853
N#Cc1ccc(CN2CC(CO)C2)cn1,3.231869,N#Cc1ccc(C(=O)N2CC(CO)C2)cn1,3.658053
O=C(O)c1ccc2[nH]c(-c3ccc(CN4CCC(C(=O)O)CC4)cc3)nc2c1,5.224339,O=C(O)c1ccc(-c2nc3cc(C(=O)N4CCC(C(=O)O)CC4)ccc3[nH]2)cc1,5.277692
O=Cc1c[nH]c2cc(N3CC(CNc4ccnc5ccccc45)C3)ccc12,5.119321,O=Cc1c[nH]c2cc(N3CC(C(=O)Nc4ccnc5ccccc45)C3)ccc12,5.933604
Brc1ccc(NCc2ccc3nc(C4CCN4)oc3c2)cc1,6.842068,O=C(Nc1ccc(Br)cc1)c1ccc2nc(C3CCN3)oc2c1,6.948993
O=C(O)c1cccc(-c2ccc3oc(C4CCN4c4ccccc4CCNCC4CCN4)nc3c2)c1,6.450947,O=C(O)c1cccc(-c2ccc3oc(C4CCN4c4ccccc4CCNC(=O)C4CCN4)nc3c2)c1,6.897209
Nc1ccc(CNc2ccc(CN3CCNCC3)cc2N)cc1O,4.529572,Nc1ccc(C(=O)Nc2cc(CN3CCNCC3)ccc2N)cc1O,4.386028
Brc1ccc(NCc2ccc3nc(C4CNC4)oc3c2)cc1,7.053643,O=C(Nc1ccc(Br)cc1)c1ccc2nc(C3CNC3)oc2c1,7.225536
c1cc(-c2ccc(NCc3ccccc3NC[C@@H]3Cc4ccccc4CN3)cc2)cc(-c2nnn(CC3CC3)n2)c1,8.033931,O=C(Nc1ccccc1CNc1ccc(-c2cccc(-c3nnn(CC4CC4)n3)c2)cc1)[C@@H]1Cc2ccccc2CN1,8.041997
c1ccc2c(c1)CN[C@H](CNc1ccc(-c3ccccc3CCNCc3ccc(CO[C@H]4CN5CCC4CC5)cc3)cc1)C2,7.753331,O=C(Nc1ccc(-c2ccccc2CCNCc2ccc(CO[C@H]3CN4CCC3CC4)cc2)cc1)[C@@H]1Cc2ccccc2CN1,7.78363
Nc1ccc(CNc2ccc(Br)cc2)cc1O,3.776269,Nc1ccc(C(=O)Nc2ccc(Br)cc2)cc1O,4.044579
Nc1ccccc1CN1CC(C(=O)NCCc2cn(CC3CC3)c3ccccc23)C1,6.70965,Nc1ccccc1C(=O)N1CC(C(=O)NCCc2cn(CC3CC3)c3ccccc23)C1,6.979186
Cc1cc(Nc2ccc(NCc3ccc(C(F)(F)F)cc3)cc2)cnc1NCc1ccc2nc(C3CNC3)oc2c1,7.257346,Cc1cc(Nc2ccc(NCc3ccc(C(F)(F)F)cc3)cc2)cnc1NC(=O)c1ccc2nc(C3CNC3)oc2c1,7.341655
Nc1cc(CNc2cc(-c3ccc(C=O)cc3)ccc2N)ccc1O,5.073781,Nc1cc(C(=O)Nc2cc(-c3ccc(C=O)cc3)ccc2N)ccc1O,5.009828
Nc1ccc(-c2ccc(O)c(NCc3ccc(O)c(N)c3)c2)cc1,5.11011,Nc1cc(C(=O)Nc2ccc(-c3ccc(O)c(N)c3)cc2)ccc1O,5.197618
Oc1cccc(CNc2ccc(Br)cc2)c1NCc1ccc(CO[C@H]2CN3CCC2CC3)cc1,6.756626,O=C(Nc1c(O)cccc1CNc1ccc(Br)cc1)c1ccc(CO[C@H]2CN3CCC2CC3)cc1,6.807075
Nc1cccc(-c2ccc(NC[C@@H]3Cc4ccccc4CN3Cc3ccc4oc(C5CCN5)nc4c3)cc2)c1,7.230131,Nc1cccc(-c2ccc(N(C[C@@H]3Cc4ccccc4CN3)C(=O)c3ccc4oc(C5CCN5)nc4c3)cc2)c1,7.145459
O=Cc1cccc(CNCCc2ccccc2Br)c1,3.78095,O=Cc1cccc(C(=O)NCCc2ccccc2Br)c1,4.315679
Nc1ccc(CNC23CC(C2)C3)cc1O,4.348629,Nc1ccc(C(=O)NC23CC(C2)C3)cc1O,4.457636
O=C(O)c1ccc(O)c(NCc2cccc(C(=O)N3CCC(CNC45CC(C4)C5)CC3)c2)c1,6.313167,O=C(NC12CC(C1)C2)c1ccc(O)c(NCc2cccc(C(=O)N3CCC(C(=O)O)CC3)c2)c1,6.065432
Nc1ccc(CNc2ccc(-c3cccc(NCc4ccc(NC(=O)C5CCNCC5)c(O)c4)c3)cc2)cc1N,6.805253,Nc1ccc(C(=O)Nc2ccc(-c3cccc(NCc4ccc(NC(=O)C5CCNCC5)c(O)c4)c3)cc2)cc1N,7.043288
c1cc(-c2cc(NC[C@@H]3Cc4ccccc4CN3)[nH]n2)cc(-c2nnn(CC3CC3)n2)c1,8.198156,O=C(Nc1cc(-c2cccc(-c3nnn(CC4CC4)n3)c2)n[nH]1)[C@@H]1Cc2ccccc2CN1,8.00738
