tag,arm,smiles,hub,n_steps,route_yield,n_direct_acid_steps,reactions
drd2_drd2_seed44,best_candidate,Oc1ccccc1N(CCN1CCCCC1)C1CN(Cc2c[nH]c3cc(Br)ccc23)C1,Oc1ccccc1N(CCN1CCCCC1)C1CNC1,4,0.29531,1,?|?|?|?
drd2_drd2_seed44,best_candidate,O=CCCN(CCCNCCc1c[nH]c2ccc(O)cc12)Cc1cccc(Br)c1,O=CCCN(CCC(=O)O)Cc1cccc(Br)c1,3,0.448,1,?|?|?
drd2_drd2_seed44,best_candidate,C=CCN(CCC1c2ccccc2CCN1Cc1c[nH]c2cc(Br)ccc12)C1CC1,C=CCN(CCC1NCCc2ccccc21)C1CC1,4,0.2814,1,?|?|?|?
drd2_drd2_seed44,best_candidate,COc1cccc2c1CCN(CC1CCCN1C1CNC1)C2c1c[nH]c2cc(I)ccc12,O=C(O)C1CCCN1C1CNC1,2,0.525,1,?|?
drd2_drd2_seed44,best_candidate,COc1ccccc1CCN(CCCNCc1c[nH]c2ccc(Br)cc12)C1CNC1,COc1ccccc1CCN(CCCN)C1CNC1,3,0.42,1,?|?|?
drd2_drd2_seed44,best_candidate,COc1ccccc1CCNCCN(Cc1c[nH]c2ccc(F)cc12)C1CC1,COc1ccccc1CCNCCNC1CC1,3,0.42,1,?|?|?
drd2_drd2_seed44,best_candidate,CCCN1CCCC1CN1CCc2c(OC)cccc2C1c1c[nH]c2ccc(Br)cc12,COc1cccc2c1CCN(CC1CCCN1)C2c1c[nH]c2ccc(Br)cc12,3,0.35175,1,?|?|?
drd2_drd2_seed44,best_candidate,COc1cccc2c1CCN(C1CN(C3CCC3)C1)C2c1c[nH]c2ccc(Cl)cc12,COc1cccc2c1CCN(C1CN(C3CCC3)C1)C2c1c[nH]c2ccc(Br)cc12,4,0.28266,0,?|?|?|?
drd2_drd2_seed44,best_candidate,CN(CCN(c1ccccc1S)C1CN(Cc2c[nH]c3ccc(F)cc23)C1)C1CCC1,CNCCN(c1ccccc1S)C1CN(Cc2c[nH]c3ccc(F)cc23)C1,4,0.29531,1,?|?|?|?
drd2_drd2_seed44,best_candidate,COc1ccccc1CCN(Cc1c[nH]c2cc(Br)ccc12)C1CCCN(C2CNC2)C1,COc1ccccc1CCN(Cc1c[nH]c2cc(Br)ccc12)C1CCCNC1,3,0.42188,0,?|?|?
drd2_drd2_seed44,best_candidate,CCC1c2cccc(OC)c2CCN1C1CCN(Cc2c[nH]c3cc(Br)ccc23)CC1,CCC1c2cccc(OC)c2CCN1C1CCNCC1,3,0.37688,0,?|?|?
drd2_drd2_seed44,best_candidate,CCCN(c1cccc2cc[nH]c12)C1CCCN(CCCNCc2ccc(F)cc2)C1,Fc1ccc(CNCCCN2CCCC(Nc3cccc4cc[nH]c34)C2)cc1,4,0.27562,2,?|?|?|?
drd2_drd2_seed44,best_candidate,COc1ccccc1CCN(CC1CCCN1Cc1c[nH]c2ccc(I)cc12)C1CNC1,COc1ccccc1CCN(CC1CCCN1Cc1c[nH]c2ccc(Br)cc12)C1CNC1,4,0.29531,1,?|?|?|?
drd2_drd2_seed44,best_candidate,COc1cccc2c1CCN(Cc1c[nH]c3ccc(Cl)cc13)C2CCN1CCCCC1,COc1cccc2c1CCN(Cc1c[nH]c3ccc(Br)cc13)C2CCN1CCCCC1,4,0.3015,0,?|?|?|?
drd2_drd2_seed44,best_candidate,Oc1c(Br)cccc1N(CCBr)CCN1CCCC(NCCc2c[nH]c3ccccc23)C1,Oc1c(Br)cccc1NCCN1CCCC(NCCc2c[nH]c3ccccc23)C1,4,0.27562,2,?|?|?|?
drd2_drd2_seed44,best_candidate,Oc1ccc2c(c1)C(c1c[nH]c3ccc(F)cc13)N(C1CCN(C3CNC3)C1)CC2,Oc1ccc(CCNC2CCN(C3CNC3)C2)cc1,3,0.37688,0,?|?|?
drd2_drd2_seed44,best_candidate,COc1cccc2c1CCN(C1CCN(C3CNC3)C1)C2c1c[nH]c2cc(Br)ccc12,COc1ccccc1CCNC1CCN(C2CNC2)C1,3,0.37688,0,?|?|?
drd2_drd2_seed44,best_candidate,COc1ccccc1CCNCC1CCCN1Cc1c[nH]c2ccc(Br)cc12,COc1ccccc1CCNCC1CCCN1,2,0.525,1,?|?
drd2_drd2_seed44,best_candidate,CN(CCN(c1cccc2cc[nH]c12)C1CCN(Cc2cccc(Br)c2)C1)C1CNC1,CN(CCN(c1cccc2cc[nH]c12)C1CCNC1)C1CNC1,4,0.29531,1,?|?|?|?
drd2_drd2_seed44,best_candidate,CCC1c2cc(O)ccc2CCN1CCCN(Cc1c[nH]c2cc(Br)ccc12)C1CNC1,CCC1c2cc(O)ccc2CCN1CCCNCc1c[nH]c2cc(Br)ccc12,4,0.2814,1,?|?|?|?
drd2_drd2_seed44,best_candidate,COc1cccc2c1CCN(CCN(C)C1CCC1)C2c1c[nH]c2cc(Cl)ccc12,CNCCN1CCc2c(OC)cccc2C1c1c[nH]c2cc(Cl)ccc12,2,0.525,1,?|?
drd2_drd2_seed44,best_candidate,NC(CCN(Cc1ccc(F)cc1)C1CC1)CNCCc1c[nH]c2ccc(O)cc12,NC(CCNC1CC1)CNCCc1c[nH]c2ccc(O)cc12,3,0.343,3,?|?|?
drd2_drd2_seed44,best_candidate,O=CCN(CCCN(CCc1c[nH]c2ccccc12)C(CCl)c1ccc(Br)cc1)C1CC1,ClCC(c1ccc(Br)cc1)N(CCCNC1CC1)CCc1c[nH]c2ccccc12,2,0.49,2,?|?
drd2_drd2_seed44,best_candidate,CCCN(CCc1ccccc1OC)CC1CCN1Cc1c[nH]c2ccc(F)cc12,CCCN(CCc1ccccc1OC)CC1CCN1,3,0.39375,1,?|?|?
drd2_drd2_seed44,best_candidate,CCC1c2cccc3c2C(CN1c1cc(F)ccc1O)N(CC1CCN1)CC3,Oc1ccc(F)cc1NCC1c2ccccc2CCN1CC1CCN1,4,0.21996,2,?|?|?|?
drd2_drd2_seed44,best_candidate,COc1ccccc1CCN(CCCN)C1CN(Cc2c[nH]c3cc(Cl)ccc23)C1,COc1ccccc1CCN(CCCN)C1CN(Cc2c[nH]c3cc(Br)ccc23)C1,4,0.29531,1,?|?|?|?
drd2_drd2_seed44,best_candidate,CCCN(CCN(CCc1c[nH]c2ccccc12)CC1CCN1)c1cc(Br)ccc1N,Nc1ccc(Br)cc1NCCN(CCc1c[nH]c2ccccc12)CC1CCN1,4,0.294,2,?|?|?|?
drd2_drd2_seed44,best_candidate,CCCN1CCC1CN(CCN(C)Cc1c[nH]c2cc(Br)ccc12)c1cccc(Br)c1N,CCCN1CCC1CN(CCNC)c1cccc(Br)c1N,4,0.27562,2,?|?|?|?
drd2_drd2_seed44,hub_batching,CC(N)CNCCc1c[nH]c2ccc(O)cc12,CC(N)C(=O)O,1,0.7,1,?
drd2_drd2_seed44,hub_batching,CC(N)CNCCc1ccc(O)cc1,CC(N)C(=O)O,1,0.7,1,?
drd2_drd2_seed44,hub_batching,Oc1ccc(CCNCC2CCCN2)cc1,O=C(O)C1CCCN1,1,0.7,1,?
drd2_drd2_seed44,hub_batching,c1ccc2c(CCNCC3CCCN3)c[nH]c2c1,O=C(O)C1CCCN1,1,0.7,1,?
drd2_drd2_seed44,hub_batching,O=C(NCCc1c[nH]c2ccc(O)cc12)C1CCCN1,O=C(O)C1CCCN1,1,0.75,0,?
drd2_drd2_seed44,hub_batching,Oc1cccc(CNCC2CCCN2)c1,O=C(O)C1CCCN1,1,0.7,1,?
drd2_drd2_seed44,hub_batching,COc1ccccc1CCNCC1CCCN1,O=C(O)C1CCCN1,1,0.7,1,?
drd2_drd2_seed44,hub_batching,NCCc1c[nH]c2ccc(OC(=O)C3CCCN3)cc12,O=C(O)C1CCCN1,1,0.95,0,?
drd2_drd2_seed44,hub_batching,Oc1ccccc1CNCC1CCCN1,O=C(O)C1CCCN1,1,0.7,1,?
drd2_drd2_seed44,hub_batching,Oc1ccc2[nH]c3c(c2c1)CCN=C3C1CCCN1,O=C(O)C1CCCN1,1,0.8,0,?
drd2_drd2_seed44,hub_batching,O=C(O)C(Cc1ccc(O)cc1)NCC1CCCN1,O=C(O)C1CCCN1,1,0.7,1,?
drd2_drd2_seed44,hub_batching,COc1ccc(O)c(N(c2ccccc2CCN)C2CNC2)c1,COc1ccc(O)c(NC2CNC2)c1,2,0.6,0,?|?
drd2_drd2_seed44,hub_batching,COc1ccc(O)c(N(CC2Cc3ccccc3CN2)C2CNC2)c1,COc1ccc(O)c(NC2CNC2)c1,2,0.525,1,?|?
drd2_drd2_seed44,hub_batching,COc1ccc(O)c(N(CC(N)Cc2ccc(O)cc2)C2CNC2)c1,COc1ccc(O)c(NC2CNC2)c1,2,0.525,1,?|?
drd2_drd2_seed44,hub_batching,COc1ccc(O)c(N(C2CNC2)C(CCl)c2ccc(Cl)c(Cl)c2)c1,COc1ccc(O)c(NC2CNC2)c1,2,0.5625,0,?|?
