tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
fraggfn_6td3,best_candidate,1,1,5,5,-7.012370000000001,O=c1nc2[nH]c3ccc(C4COC(c5ncncc5-c5cccnc5)C4n4cnc5c(=O)[nH]cnc54)cc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccc(C4COC(c5ncncc5-c5cccnc5-c5ccncn5)C4n4cnc5c(=O)[nH]cnc54)cc3nc-2c(=O)[nH]1
fraggfn_6td3,best_candidate,2,2,10,5,-6.979309999999999,O=c1nc2[nH]c3ccc(C4CCC(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccc(C4CC(n5cnc6cncnc65)C(C5CCCO5)C(c5nc6[nH]cnc6c(=O)[nH]5)C4C4CCCCO4)cc3nc-2c(=O)[nH]1
fraggfn_6td3,best_candidate,3,3,15,5,-6.795139999999999,O=C(NO)c1ccc(C2CCCCC2)c(C(=O)NC2CCCCC2)c1,O=C(NO)c1cc(C(=O)NC2CCCCC2)c(C2CCCCC2)cc1-c1ccc2[nH]c3nc(=O)[nH]c(=O)c-3nc2c1
fraggfn_6td3,best_candidate,4,4,20,5,-6.6366499999999995,O=c1nc2[nH]c3ccc(-c4nc(-c5cc[nH]c5)c(C5CCCCC5)cc4-c4ccccc4)cc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3ccc(-c4nc(-c5cc[nH]c5)c(C5CCCC(C6CCCN6)C5)cc4-c4ccccc4)cc3nc-2c(=O)[nH]1
fraggfn_6td3,best_candidate,5,5,25,5,-6.612190000000001,O=CNC1CC(n2c3nc(=O)[nH]c(=O)c-3nc3ccccc32)CC(c2ccc3[nH]c4nc(=O)[nH]c(=O)c-4nc3c2)C1C1CCCO1,O=CNC1CC(n2c3nc(=O)[nH]c(=O)c-3nc3ccccc32)CC(c2ccc3[nH]c4nc(=O)[nH]c(=O)c-4nc3c2)C1C1CCC(c2nc3[nH]cnc3c(=O)[nH]2)O1
fraggfn_6td3,best_candidate,6,6,30,5,-6.5686,C1=CNC=C(c2ccccc2C2CCCC(C3CC(c4cccc5ccccc45)CCO3)O2)C1,O=c1nc2[nH]c3ccc(C4CCC(C5CC(c6cccc7ccccc67)CCO5)OC4c4ccccc4C4=CNC=CC4)cc3nc-2c(=O)[nH]1
fraggfn_6td3,best_candidate,7,7,35,5,-6.45569,O=C(NCc1cccc(C2CCCC(C3CCCCC3)C2)c1)c1cn[nH]c1,O=C(NCc1cccc(C2CCCC(C3CCCCC3)C2)c1)c1cn[nH]c1-c1ccc2[nH]c3nc(=O)[nH]c(=O)c-3nc2c1
fraggfn_6td3,best_candidate,8,8,40,5,-6.38167,O=c1nc2n(-c3cnn(C4CCCCC4C4CNc5nc[nH]c(=O)c5N4)c3)c3ccc(C4CCCCC4)cc3nc-2c(=O)[nH]1,O=c1nc2n(-c3cn(C4CCCCC4C4CNc5nc[nH]c(=O)c5N4)nc3-c3cccc4ccccc34)c3ccc(C4CCCCC4)cc3nc-2c(=O)[nH]1
fraggfn_6td3,best_candidate,9,9,45,5,-6.36402,CNC(=O)C1CC(c2ccccc2)CC(C2CCCC(c3nc4c(c(=O)[nH]3)NCCN4)C2)C1,CNC(=O)C1CC(C2CCCC(c3nc4c(c(=O)[nH]3)NCCN4)C2)CC(c2ccccc2)C1c1ccccc1
fraggfn_6td3,best_candidate,10,10,50,5,-6.354779999999999,O=c1nc2[nH]c3cc(-c4ccc[n+](-n5c6nc(=O)[nH]c(=O)c-6nc6ccc(-c7cccc(F)c7)cc65)c4)ccc3nc-2c(=O)[nH]1,O=c1nc2[nH]c3cc(-c4ccc[n+](-n5c6nc(=O)[nH]c(=O)c-6nc6ccc(-c7cc(F)ccc7-c7ccccn7)cc65)c4)ccc3nc-2c(=O)[nH]1
