tag,arm,smiles,hub,n_steps,route_yield,n_direct_acid_steps,reactions
seh_seed44,best_candidate,c1cc2oc(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)cn2)cc1,c1nc(-c2ccc(NCc3ccc4oc(C5CNC5)nc4c3)cc2)c[nH]1,2,0.5625,0,?|?
seh_seed44,best_candidate,c1cc2[nH]c(C3CNC3)nc2cc1CNc1ccc(-c2cn(CC3CC3)nn2)cc1,C#Cc1ccc(NCc2ccc3[nH]c(C4CNC4)nc3c2)cc1,2,0.8075,0,?|?
seh_seed44,best_candidate,c1ccc2c(c1)c(CNc1ccc3[nH]c(-c4ccc(COC5CN6CCC5CC6)cc4)nc3c1)cn2CC1CC1,c1ccc2c(CNc3ccc4[nH]c(-c5ccc(COC6CN7CCC6CC7)cc5)nc4c3)c[nH]c2c1,3,0.42,0,?|?|?
seh_seed44,best_candidate,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc(-c2nc3ccc(C(=O)NC4CC4)cc3o2)cc1,O=C(O)c1ccc2nc(-c3ccc(C(=O)NCc4cn(CC5CC5)c5ccccc45)cc3)oc2c1,3,0.39375,0,?|?|?
seh_seed44,best_candidate,O=C(Nc1ccc(NCc2cn(Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c3ccccc23)cc1)C1CNC1,O=C(Nc1ccc(Br)cc1)C1CNC1,1,0.8,0,?
seh_seed44,best_candidate,O=C(NCc1cn(CC2CC2)c2ccccc12)c1cccc(-c2ccc3oc(C4CNC4)nc3c2)c1,NCc1cn(CC2CC2)c2ccccc12,2,0.525,0,?|?
seh_seed44,best_candidate,c1ccc2c(c1)c(CNc1ccc(-c3cn(CC4CC4)nn3)cc1)cn2CC1CC1,c1ccc2c(CNc3ccc(-c4cn(CC5CC5)nn4)cc3)c[nH]c2c1,2,0.7125,0,?|?
seh_seed44,best_candidate,O=C(NC1CC1)c1ccc2nc(-c3ccc(COC4CN5CCC4CC5)cc3)oc2c1,OC1CN2CCC1CC2,1,0.85,0,?
seh_seed44,best_candidate,c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2cn(CC3CC3)cn2)c1,c1cc(NCc2ccc3nc(C4CNC4)[nH]c3c2)cc(-c2c[nH]cn2)c1,4,0.27562,1,?|?|?|?
seh_seed44,best_candidate,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1ccc(-c2cn(CC3CC3)cn2)cn1,Brc1cn(CC2CC2)cn1,2,0.5625,0,?|?
seh_seed44,best_candidate,c1cc2nc(C3CNC3)oc2cc1CNc1cc(-c2cn(CC3CC3)nn2)n[nH]1,O=C(O)c1ccc2nc(C3CNC3)oc2c1,2,0.8075,0,?|?
seh_seed44,best_candidate,O=C(NC1CC1)c1ccc2oc(-c3ccc(Cn4cc(CNC(=O)C5CNC5)c5ccccc54)cc3)nc2c1,,1,0.75,0,?
seh_seed44,best_candidate,O=C(Nc1cc(-c2cccc(NCc3ccc(-c4nnn(CC5CC5)n4)nc3)c2)n[nH]1)C1CNC1,,1,0.75,0,?
seh_seed44,best_candidate,c1ccc2c(c1)c(CNc1ccc(NCc3ccc4nc(C5CNC5)oc4c3)cc1)cn2CC1CC1,NCc1cn(CC2CC2)c2ccccc12,2,0.49,1,?|?
seh_seed44,best_candidate,c1ccc2c(c1)CCN=C2c1ccc(CNc2ccc(-c3cn(CC4CC4)nn3)cc2)cc1,C#Cc1ccc(NCc2ccc(C3=NCCc4ccccc43)cc2)cc1,2,0.8075,0,?|?
seh_seed44,best_candidate,O=C(Nc1cc(-c2ccc3c(ccn3Cc3ccc(-c4nnn(CC5CC5)n4)cc3)c2)n[nH]1)C1CNC1,O=C(Nc1cc(-c2ccc3[nH]ccc3c2)n[nH]1)C1CNC1,1,0.75,0,?
seh_seed44,best_candidate,O=C(Nc1cc(-c2cccc(NCc3ccc4oc(C5CNC5)nc4c3)c2)n[nH]1)C1CNC1,,1,0.75,0,?
seh_seed44,best_candidate,c1cc2[nH]c(C3CCN3)nc2cc1CNc1ccc(-c2cn(CC3CC3)cn2)cn1,c1nc(-c2ccc(NCc3ccc4[nH]c(C5CCN5)nc4c3)nc2)c[nH]1,4,0.27562,1,?|?|?|?
seh_seed44,best_candidate,O=C(NCc1cn(CC2CC2)c2ccccc12)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1,O=C(O)c1ccc(-c2nc3ccc(-c4nnn(CC5CC5)n4)cc3[nH]2)cc1,1,0.75,0,?
seh_seed44,best_candidate,c1cc(-c2nnn(CC3CC3)n2)ncc1CNc1cc(-c2ccc3c(ccn3CC3CC3)c2)n[nH]1,OB(O)c1ccc2c(ccn2CC2CC2)c1,2,0.5625,0,?|?
seh_seed44,best_candidate,c1cc(-c2ccc(NCc3ccc4nc(C5CNC5)[nH]c4c3)cc2)cc(-c2nnn(CC3CC3)n2)c1,,1,0.7,1,?
