tag,arm,step,cum_modes,cum_reactions,reactions_added,reward,source_hub,smiles
fraggfn_seh,best_candidate,1,1,5,5,8.499491691589355,c1c[nH]c(-c2cc(C3CCC(c4ccc(C5CCCN5)cc4)OC3)c[nH]2)c1,c1ccc2cc(-c3c[nH]c(-c4cc(C5CCC(c6ccc(C7CCCN7)cc6)OC5)c[nH]4)c3)ccc2c1
fraggfn_seh,best_candidate,2,2,10,5,8.372932434082031,c1ccc(-c2c[nH]c(-c3c[nH]c(C4CCC(c5ccc6ccccc6c5)OC4)c3)c2)nc1,c1cc(-c2c[nH]c(-c3c[nH]c(C4CCC(c5ccc6ccccc6c5)OC4)c3)c2)nc(C2CCNC2)c1
fraggfn_seh,best_candidate,3,3,15,5,8.342184066772461,c1ccc(C2CCC(c3cc(-c4cc(C5CCNC5)c[nH]4)c[nH]3)OC2)cc1,c1cc(-c2ccc3ccccc3c2)cc(C2CCC(c3cc(-c4cc(C5CCNC5)c[nH]4)c[nH]3)OC2)c1
fraggfn_seh,best_candidate,4,4,20,5,8.34164047241211,c1ccc(-c2nccc(-c3cccc(C4CCC(c5ccc6ccccc6c5)OC4)c3)n2)cc1,c1cc(-c2nccc(-c3cccc(C4CCC(c5ccc6ccccc6c5)OC4)c3)n2)cc(C2CCNC2)c1
fraggfn_seh,best_candidate,5,5,25,5,8.339109420776367,c1cc(-c2cc(-c3c[nH]c(C4CCCN4)c3)n[nH]2)cc(C2CCCCO2)c1,c1cc(-c2cc(-c3c[nH]c(C4CCCN4)c3)n[nH]2)cc(C2CCC(c3ccc4ccccc4c3)CO2)c1
fraggfn_seh,best_candidate,6,6,30,5,8.326266288757324,O=c1nc(C2CCCN2)ccn1-c1cc(-c2cccc(C3CCCOC3)c2)c[nH]1,O=c1nc(C2CCCN2)ccn1-c1cc(-c2cccc(C3CCC(c4ccc5ccccc5c4)OC3)c2)c[nH]1
fraggfn_seh,best_candidate,7,7,35,5,8.30616569519043,c1ccc(C2CCC(c3cccc(-c4cc(C5CCCN5)c[nH]4)n3)OC2)cc1,c1cc(-c2cc(C3CCCN3)c[nH]2)nc(C2CCC(c3ccc(C4CCCN4)cc3)CO2)c1
fraggfn_seh,best_candidate,8,8,40,5,8.291511535644531,O=C(NCc1ccccn1)c1cccc(-c2cc(-c3ccccc3)c[nH]2)c1,O=C(NCc1cccc(C2CCNC2)n1)c1cccc(-c2cc(-c3ccccc3)c[nH]2)c1
fraggfn_seh,best_candidate,9,9,45,5,8.290274620056152,c1ccc(C2CCC(c3cccc(-c4c[nH]c(-c5ccc6ccccc6c5)c4)n3)OC2)cc1,c1cc(C2CCNC2)cc(C2CCC(c3cccc(-c4c[nH]c(-c5ccc6ccccc6c5)c4)n3)OC2)c1
fraggfn_seh,best_candidate,10,10,50,5,8.286428451538086,c1ccc(-c2ccn(-c3cccc(C4CCC(c5ccc6ccccc6c5)OC4)n3)n2)nc1,c1cc(-c2ccn(-c3cccc(C4CCC(c5ccc6ccccc6c5)OC4)n3)n2)nc(C2CCCN2)c1
fraggfn_seh,best_candidate,11,11,55,5,8.284052848815918,O=C(NCc1ccccc1)c1cc(C2CCC(c3ccc4ccccc4c3)CO2)n[nH]1,O=C(NCc1ccc(C2CCNC2)cc1)c1cc(C2CCC(c3ccc4ccccc4c3)CO2)n[nH]1
fraggfn_seh,best_candidate,12,12,60,5,8.277484893798828,c1cc(-c2ccnc(C3CCCN3)c2)cc(-c2cc(C3CCCOC3)c[nH]2)c1,c1cc(-c2ccnc(C3CCCN3)c2)cc(-c2cc(C3CCC(c4ccc5ccccc5c4)OC3)c[nH]2)c1
fraggfn_seh,best_candidate,13,13,65,5,8.270265579223633,O=C(NCc1ccc(-c2ccccn2)nc1)c1cc(C2CCNC2)n[nH]1,O=C(NCc1ccc(-c2cccc(-c3ccccc3)n2)nc1)c1cc(C2CCNC2)n[nH]1
fraggfn_seh,best_candidate,14,14,70,5,8.268908500671387,O=C(NCc1ccccc1)c1cccc(-c2c[nH]c(C3CCCN3)c2)c1,O=C(NCc1ccc(-c2ccccc2)cc1)c1cccc(-c2c[nH]c(C3CCCN3)c2)c1
fraggfn_seh,best_candidate,15,15,75,5,8.265606880187988,O=C(NCc1cccnc1)c1cccc(-c2ccnc(-c3ccccc3)c2)c1,O=C(NCc1ccc(C2CCNC2)nc1)c1cccc(-c2ccnc(-c3ccccc3)c2)c1
fraggfn_seh,best_candidate,16,16,80,5,8.259160041809082,c1cc(-c2cc[nH]n2)cc(C2CCC(c3ccc(C4CCNC4)cc3)CO2)c1,c1ccc(-c2cc(-c3cccc(C4CCC(c5ccc(C6CCNC6)cc5)CO4)c3)n[nH]2)cc1
fraggfn_seh,best_candidate,17,17,85,5,8.253130912780762,c1cc(-c2cc(-c3cc(C4CCNC4)c[nH]3)ncn2)nc(C2CCCCO2)c1,c1cc(-c2cc(-c3cc(C4CCNC4)c[nH]3)ncn2)nc(C2CCC(c3ccc4ccccc4c3)CO2)c1
fraggfn_seh,best_candidate,18,18,90,5,8.246406555175781,c1cc(-c2cc[nH]n2)cc(C2CCC(c3cccc(C4CCCN4)c3)OC2)c1,c1cc(-c2ccn(-c3ccc4ccccc4c3)n2)cc(C2CCC(c3cccc(C4CCCN4)c3)OC2)c1
fraggfn_seh,best_candidate,19,19,95,5,8.239311218261719,O=C(NCc1ccc(-c2ccccc2)cn1)c1cccc(-c2ccccc2)n1,O=C(NCc1ccc(-c2ccccc2)cn1)c1cccc(-c2cccc(C3CCNC3)c2)n1
fraggfn_seh,best_candidate,20,20,100,5,8.239060401916504,O=C(NCc1ccc(C2CCNC2)cn1)c1cccc(-c2ccccc2)c1,O=C(NCc1ccc(C2CCNC2)cn1)c1cccc(-c2cccc(-c3ccccc3)c2)c1
fraggfn_seh,best_candidate,21,21,105,5,8.237115859985352,O=C(NCc1cc[nH]n1)C1CCC(c2cccc(C3CCNC3)n2)O1,O=C(NCc1ccn(-c2ccc3ccccc3c2)n1)C1CCC(c2cccc(C3CCNC3)n2)O1
fraggfn_seh,best_candidate,22,22,110,5,8.235084533691406,O=C(NCc1cccc(-c2cccc(-c3ccncn3)c2)c1)C1CCNC1,O=C(NCc1cccc(-c2cccc(-c3ccnc(-c4ccc5ccccc5c4)n3)c2)c1)C1CCNC1
fraggfn_seh,best_candidate,23,23,115,5,8.233516693115234,O=C(NCc1cccnc1)c1cccc(-c2cc(-c3ccccc3)c[nH]2)n1,O=C(NCc1ccc(C2=CNC=CC2)nc1)c1cccc(-c2cc(-c3ccccc3)c[nH]2)n1
fraggfn_seh,best_candidate,24,24,120,5,8.232612609863281,c1cc(-c2cc(C3CC(C4CCCN4)CO3)n[nH]2)cc(C2CCCOC2)c1,c1cc(-c2cc(C3CC(C4CCCN4)CO3)n[nH]2)cc(C2CCC(c3ccc4ccccc4c3)OC2)c1
fraggfn_seh,best_candidate,25,25,125,5,8.231355667114258,O=C(NCc1ccc(-c2ccc3ccccc3c2)cn1)c1cccc(-c2ccccc2)c1,O=C(NCc1ccc(-c2ccc3ccccc3c2)cn1)c1cccc(-c2ccc(C3CCCN3)cc2)c1
fraggfn_seh,best_candidate,26,26,130,5,8.231073379516602,c1cc(-c2ccnc(-c3cc(C4CCCCO4)ccn3)n2)nc(C2CCNC2)c1,c1cc(-c2ccnc(-c3cc(C4CCC(c5ccc6ccccc6c5)CO4)ccn3)n2)nc(C2CCNC2)c1
fraggfn_seh,best_candidate,27,27,135,5,8.230280876159668,c1[nH]c(C2CCC(C3CCCN3)OC2)cc1-c1cc(C2CCCCO2)n[nH]1,c1ccc2cc(C3CCC(c4cc(-c5c[nH]c(C6CCC(C7CCCN7)OC6)c5)[nH]n4)OC3)ccc2c1
fraggfn_seh,best_candidate,28,28,140,5,8.22677993774414,c1cc(-c2ccncn2)cc(C2CCC(c3cc(C4CCCN4)c[nH]3)OC2)c1,c1cc(-c2cc(-c3ccc4ccccc4c3)ncn2)cc(C2CCC(c3cc(C4CCCN4)c[nH]3)OC2)c1
fraggfn_seh,best_candidate,29,29,145,5,8.224422454833984,O=C(NCn1cccn1)C1C=C(c2cccc(-c3ccc4ccccc4c3)c2)CCC1,O=C(NCn1ccc(C2CCNC2)n1)C1C=C(c2cccc(-c3ccc4ccccc4c3)c2)CCC1
fraggfn_seh,best_candidate,30,30,150,5,8.222578048706055,c1cc(-c2c[nH]c(C3CCNC3)c2)cc(-c2cc(C3CCCCO3)c[nH]2)c1,c1cc(-c2c[nH]c(C3CCNC3)c2)cc(-c2cc(C3CCC(c4ccc5ccccc5c4)CO3)c[nH]2)c1
